row_id,price,spec_general_marque,spec_general_type_produit,spec_general_reference,spec_informations_impedance_nominale,spec_forme_materiaux_systeme_magnetique,spec_forme_materiaux_forme_facade,spec_parametres_petits_signaux_qts,spec_parametres_petits_signaux_qes,spec_parametres_petits_signaux_qms,spec_forme_materiaux_materiau_saladier,spec_forme_materiaux_materiau_suspension,spec_forme_materiaux_support_bobine,spec_forme_materiaux_fil_bobine,spec_forme_materiaux_materiau_dome,spec_informations_puissance_nominale_w,spec_informations_sensibilite_fabricant_db,spec_parametres_petits_signaux_fs_hz,spec_donnees_poids_kg,spec_parametres_fondamentaux_re_ohm,spec_donnees_xmax_mm,spec_parametres_fondamentaux_mms_gr,spec_donnees_ebp_hz,spec_parametres_petits_signaux_vas_l,spec_donnees_rendement_calcule_pct,spec_parametres_fondamentaux_le_mh,spec_parametres_fondamentaux_sd_cm2,spec_parametres_fondamentaux_bl_t_m,spec_dimensions_diametre_systeme_magnetique_mm,spec_informations_puissance_max_w,spec_dimensions_hauteur_entrefer_mm,spec_dimensions_hauteur_bobinage_mm,spec_donnees_rendement_pct
319,187.0,BMS,Haut parleur a cone,5N160,16 ohm,Neodymium,Non cylindrique,0.43,0.52,2.4,Aluminium,Tissu,,Cuivre,,130.0,91.0,113.0,0.85,11.4,5.0,8.3,217.0,2.57,0.69,0.51,85.0,11.3,72.0,260.0,5.0,15.0,
320,152.0,BMS,Haut parleur a cone,5S117,16 ohm,Ferrite,Non cylindrique,0.42,0.49,3.3,Aluminium,Tissu,,Cuivre,,130.0,91.0,95.0,1.7,11.4,5.0,8.9,194.0,3.25,0.55,0.58,85.0,11.3,110.0,260.0,5.0,15.0,
321,119.0,BMS,Haut-parleur coaxial a deux entrees,6C150,8+16 ohm,Ferrite + Neodymium,Non cylindrique,0.46,0.53,3.9,Aluminium,Tissu,,CCAW (fil alu recouvert de cuivre),,130.0,93.0,88.4,1.9,11.9,5.0,10.0,167.0,7.6,0.96,0.68,132.0,11.36,110.0,260.0,5.0,15.0,
322,258.0,BMS,Haut-parleur coaxial a deux entrees,6CN160,8+8 ohm,Neodymium,Non cylindrique,0.34,0.38,3.3,Aluminium,Tissu,,CCAW (fil alu recouvert de cuivre),,130.0,93.0,79.0,,6.85,5.0,11.0,208.0,8.9,1.11,0.51,132.0,10.0,72.0,260.0,5.0,15.0,
323,202.0,BMS,Haut parleur a cone,6N160,16 ohm,Neodymium,Non cylindrique,0.47,0.58,2.4,Aluminium,Tissu,,Cuivre,,130.0,93.0,89.0,,11.4,5.0,11.7,153.0,7.7,0.9,0.53,143.0,11.3,72.0,260.0,5.0,15.0,
324,150.0,BMS,Haut parleur a cone,6S117,16 ohm,Ferrite,Non cylindrique,0.43,0.49,3.3,Aluminium,Tissu,,Cuivre,,130.0,93.0,80.0,,11.4,5.0,11.0,163.0,10.4,1.05,0.64,143.0,11.3,110.0,260.0,5.0,15.0,
325,216.0,BMS,Haut-parleur coaxial a deux entrees,8C250,8+8 ohm,Ferrite,Cylindrique,0.52,0.61,4.85,Aluminium,Tissu,,CCAW (fil alu recouvert de cuivre),,200.0,93.0,79.1,,5.4,4.25,18.3,130.0,10.18,0.8,,201.0,9.95,134.0,400.0,6.5,15.0,
326,275.0,BMS,Haut-parleur coaxial a deux entrees,8CN552,8+16 ohm,Neodymium,Cylindrique,0.29,0.3,5.28,Aluminium,Tissu,,CCAW (fil alu recouvert de cuivre),,200.0,95.5,87.6,1.1,5.4,4.0,18.3,292.0,10.08,2.17,,200.0,13.44,100.0,400.0,7.0,15.0,
327,242.0,BMS,Haut parleur a cone,8N515,8 ohm,Neodymium,Cylindrique,0.3,0.32,4.34,Aluminium,Tissu,,Cuivre,,200.0,96.0,87.7,2.2,5.4,4.0,20.6,274.0,11.04,2.24,0.32,222.0,13.8,85.0,400.0,7.0,15.0,
328,249.0,BMS,Haut parleur a cone,8N519,8 ohm,Neodymium,Cylindrique,0.37,0.41,4.2,Aluminium,Tissu,,Cuivre,,250.0,94.0,74.9,,5.8,6.3,28.5,183.0,10.9,1.08,0.36,222.0,13.8,95.0,500.0,6.5,19.0,
329,166.0,BMS,Haut parleur a cone,8S215,8 ohm,Ferrite,Cylindrique,0.31,0.33,4.4,Aluminium,Tissu,,Cuivre,,200.0,96.0,87.7,3.6,5.4,4.25,20.6,266.0,11.04,2.17,0.2,222.0,13.6,134.0,400.0,6.5,15.0,
330,190.0,BMS,Haut parleur a cone,8S219,8 ohm,Ferrite,Cylindrique,0.41,0.45,4.8,Aluminium,Tissu,,Cuivre,,250.0,94.0,82.0,,5.8,6.3,26.6,182.0,9.7,1.15,0.52,222.0,13.3,134.0,500.0,6.5,19.0,
331,17.0,Celestion,Haut parleur a cone,AF3010,16 ohm,Ferrite,Non cylindrique,0.74,0.84,6.1,Acier,Caoutchouc,Polyimide,Cuivre,,35.0,87.0,128.9,0.58,10.48,1.5,3.55,153.0,0.67,0.17,0.26,33.18,5.98,,70.0,5.0,8.0,
332,19.0,Celestion,Haut parleur a cone,AF4010,16 ohm,Ferrite,Non cylindrique,0.81,0.95,5.31,Acier,Caoutchouc,Polyimide,Cuivre,,35.0,88.0,104.7,0.62,10.37,1.5,4.95,110.0,2.13,0.25,0.37,56.75,5.96,,70.0,5.0,8.0,
333,88.0,Celestion,Haut parleur a cone,BN10-200X,8 ohm,Neodymium,Cylindrique,0.31,0.34,3.57,Acier,Tissu,Polyimide,Cuivre,,200.0,96.0,65.0,,5.8,4.0,,191.0,31.15,2.42,0.68,346.19,15.03,,,8.0,16.0,
334,114.0,Celestion,Haut-parleur coaxial a deux entrees,FTX0820,8+8 ohm,Ferrite,Non cylindrique,0.28,0.31,2.8,Aluminium,Tissu,Fibre de verre,Cuivre,,200.0,94.0,78.8,,5.85,4.0,22.66,254.0,13.13,1.99,0.62,226.98,14.56,,400.0,8.0,12.0,
335,177.0,Celestion,Haut-parleur coaxial a deux entrees,FTX1225,8+8 ohm,Ferrite,Cylindrique,0.4,0.24,4.21,Aluminium,Polyimide,Fibre de verre,CCAW (alu recouvert de cuivre),,300.0,97.0,47.3,,5.39,6.0,53.5,197.0,84.59,3.59,3.36,530.93,14.0,,600.0,8.0,16.0,
336,55.0,Celestion,Haut parleur a cone,TF1020,8 ohm,Ferrite,Cylindrique,0.32,0.37,2.45,,Tissu,Polyimide,Cuivre,,150.0,97.0,69.4,,5.45,2.0,31.1,188.0,28.75,2.5,0.6,346.36,14.1,,,8.0,12.0,
337,75.0,Celestion,Haut parleur a cone,TF1525,8 ohm,Ferrite,Cylindrique,0.49,0.57,3.84,Acier,Tissu,Polyimide,Cuivre,,250.0,98.0,47.6,,5.15,4.5,77.93,84.0,148.41,2.7,0.9,855.3,14.57,,500.0,8.0,13.0,
338,44.0,Celestion,Haut-parleur coaxial a deux entrees,TFX0515,8+8 ohm,Ferrite + Neodymium,Non cylindrique,0.63,0.67,10.97,Acier,Caoutchouc,Polyimide,CCAW (alu recouvert de cuivre),Tissu,150.0,89.0,80.0,1.6,5.77,2.25,9.07,119.0,2.54,0.19,0.36,78.54,6.96,,300.0,6.0,10.5,
339,32.0,Celestion,Haut parleur a cone,Truvox 0615,8 ohm,Ferrite,Cylindrique,0.47,0.52,5.54,Acier,Tissu,Polyimide,Cuivre,,150.0,93.0,89.6,1.6,5.59,3.5,10.58,172.0,7.44,0.99,0.37,154.54,8.03,,300.0,6.0,10.0,
340,418.0,Celestion,Haut parleur a cone,TSQ1845,8 ohm,Neodymium,Cylindrique,0.29,0.3,8.71,Aluminium,Tissu,Fibre de verre,Cuivre,,1800.0,96.5,35.0,11.8,5.0,15.0,316.0,117.0,119.3,1.64,3.06,1134.0,33.8,,3600.0,12.0,36.0,1.8
341,486.0,Celestion,Haut parleur a cone,TSQ2145,8 ohm,Neodymium,Cylindrique,0.34,0.36,8.39,Aluminium,Tissu,Fibre de verre,Cuivre,,1800.0,97.0,30.0,13.8,5.0,15.0,435.2,83.0,253.8,1.83,3.91,1661.9,33.8,,3600.0,12.0,36.0,1.9
342,74.0,Celestion,Haut parleur a cone,CF0820BMB,8 ohm,Ferrite,Cylindrique,0.37,0.39,5.1,Aluminium,Caoutchouc,Fibre de verre,CCAW (alu recouvert de cuivre),,250.0,93.0,50.5,3.1,5.45,5.25,32.35,129.0,22.42,0.72,0.78,226.98,11.92,,500.0,8.0,18.5,
343,74.0,Celestion,Haut parleur a cone,CF0820M,8 ohm,Ferrite,Cylindrique,0.57,0.83,1.78,Aluminium,Tissu,Fibre de verre,CCAW (alu recouvert de cuivre),,250.0,98.0,202.0,3.4,5.39,1.5,21.38,243.0,2.12,2.03,0.12,226.98,13.27,,500.0,8.0,11.0,
344,248.0,Celestion,Haut parleur a cone,CF1230F,8 ohm,Ferrite,Cylindrique,0.32,0.34,4.33,Aluminium,Tissu,Fibre de verre,CCAW (alu recouvert de cuivre),,500.0,98.0,56.5,6.8,5.08,5.5,63.75,166.0,49.61,2.53,0.74,530.93,18.33,,1000.0,8.0,19.0,
345,114.0,Celestion,Haut parleur a cone,CN0515M,16 ohm,Neodymium,Non cylindrique,0.28,0.34,1.53,Aluminium,Tissu,Aluminium,CCAW (alu recouvert de cuivre),,100.0,98.0,189.2,1.1,11.47,1.5,9.11,556.0,0.68,1.31,0.4,78.54,19.19,,200.0,7.0,10.0,
346,127.0,Celestion,Haut parleur a cone,CN0617M,16 ohm,Neodymium,Non cylindrique,0.5,0.55,5.64,Aluminium,Mousse,Fibre de verre,CCAW (alu recouvert de cuivre),,200.0,99.0,197.5,1.1,12.85,1.2,10.75,359.0,2.03,2.73,0.26,153.94,17.65,,400.0,6.0,8.4,
347,192.0,Celestion,Haut parleur a cone,FTR12-4080DL,8 ohm,Ferrite,Cylindrique,0.3,0.35,2.47,Aluminium,Caoutchouc,Aluminium,Cuivre,,700.0,88.0,28.9,10.2,6.24,11.25,176.07,83.0,68.6,0.46,2.07,530.93,24.05,,1400.0,,,
348,187.0,Celestion,Haut parleur a cone,FTR12-4080DL,4 ohm,Ferrite,Cylindrique,0.43,0.51,2.68,Aluminium,Caoutchouc,Aluminium,Cuivre,,700.0,88.0,35.3,10.2,3.15,11.25,157.81,69.0,51.38,0.43,0.96,530.93,14.69,,1400.0,,,0.43
349,144.0,Celestion,Haut parleur a cone,FTR15-3070C,8 ohm,Ferrite,Cylindrique,0.38,0.43,3.51,Aluminium,Tissu,,,,400.0,99.0,41.4,,6.07,5.5,81.73,96.0,187.62,2.98,0.59,855.3,17.33,,800.0,10.0,16.0,
350,116.0,Celestion,Haut parleur a cone,NTR06-17X,8 ohm,Neodymium,Non cylindrique,0.32,0.34,7.25,Aluminium,Caoutchouc,Polyimide,CCAW (alu recouvert de cuivre),,150.0,,60.4,1.2,5.36,3.0,17.68,178.0,13.19,0.83,0.28,153.94,10.36,,300.0,6.0,12.0,
351,216.0,Celestion,Haut parleur a cone,PowerProX18,8 ohm,Ferrite,Cylindrique,0.38,0.43,3.15,Aluminium,Tissu,Fibre de verre,Cuivre,,1200.0,97.0,34.8,13.2,5.1,9.3,229.98,81.0,188.9,1.78,1.61,1210.0,24.38,,2400.0,12.75,25.0,1.8
352,60.0,Celestion,Haut parleur a cone,PULSEXL 10.20,8 ohm,Ferrite,Cylindrique,0.46,0.49,6.68,Acier,Tissu,Polyimide,Cuivre,,200.0,92.0,37.5,,5.8,4.13,39.8,77.0,76.92,0.8,1.2,346.4,10.51,,400.0,8.0,20.5,
353,72.0,Celestion,Haut parleur a cone,PULSEXL 12.20,8 ohm,Ferrite,Cylindrique,0.5,0.55,6.09,Acier,Tissu,Polyimide,Cuivre,,250.0,94.0,35.1,,5.8,4.13,53.55,64.0,153.3,1.16,0.31,530.9,11.21,,500.0,8.0,20.5,
354,88.0,Celestion,Haut parleur a cone,PULSEXL 15.25,8 ohm,Ferrite,Cylindrique,0.6,0.53,4.23,Acier,Tissu,Polyimide,Cuivre,,350.0,97.0,33.1,5.4,6.66,4.0,85.78,62.0,213.9,1.41,1.32,855.3,13.88,,700.0,8.0,20.0,
355,250.0,Ciare,Haut parleur a cone,12.00SW,4 ohm,Ferrite,Cylindrique,0.29,0.33,2.3,Aluminium,Caoutchouc,Kapton,Cuivre,,1000.0,92.0,29.0,11.1,3.3,13.5,201.0,88.0,55.0,0.4,1.6,523.0,19.5,220.0,2000.0,10.0,32.0,0.45
356,228.0,Ciare,Haut parleur a cone,12.00SW,8 ohm,Ferrite,Cylindrique,0.34,0.36,6.1,Aluminium,Caoutchouc,Kapton,Cuivre,,1000.0,89.5,30.0,11.1,6.7,14.0,183.0,83.0,59.0,0.43,2.35,523.0,25.3,220.0,2000.0,10.0,33.0,0.45
357,163.0,Ciare,Haut parleur a cone,12.75LW-22,2+2 ohm,Ferrite,Cylindrique,0.37,0.38,10.0,Aluminium,Tissu,Fibre de verre,Cuivre,,350.0,97.5,36.0,7.3,3.0,7.5,77.0,95.0,105.0,1.24,0.7,547.0,12.0,180.0,800.0,10.0,20.0,1.4
358,157.0,Ciare,Haut parleur a cone,12.75W1,8 ohm,Ferrite,Cylindrique,0.33,0.34,15.0,Aluminium,Tissu,Kapton,Cuivre,,350.0,97.0,49.0,7.4,5.9,6.0,65.0,144.0,67.0,2.23,1.6,543.0,18.9,180.0,700.0,10.0,20.0,2.4
359,270.0,Ciare,Haut parleur a cone,15.00SW,8 ohm,Ferrite,Cylindrique,0.41,0.44,5.6,Aluminium,Caoutchouc,Kapton,Cuivre,,1000.0,91.0,29.0,12.1,6.75,14.0,220.0,66.0,111.0,0.6,2.4,780.0,25.0,220.0,2000.0,10.0,33.0,0.65
360,270.0,Ciare,Haut parleur a cone,15.00SW,4 ohm,Ferrite,Cylindrique,0.41,0.44,5.4,Aluminium,Caoutchouc,Kapton,Cuivre,,1000.0,94.0,29.0,12.1,3.6,13.5,224.0,66.0,113.0,0.61,2.0,780.0,18.4,220.0,2000.0,10.0,32.0,0.62
361,359.0,Ciare,Haut parleur a cone,18.00SW,8 ohm,Ferrite,Cylindrique,0.5,0.55,6.7,Aluminium,Caoutchouc,Kapton,Cuivre,,1000.0,91.5,36.0,15.7,7.0,14.0,377.0,65.0,93.0,0.76,3.0,1134.0,32.5,220.0,2000.0,10.0,32.0,0.73
362,29.0,Ciare,Haut parleur bicone,CH170Z,4 ohm,Ferrite,Cylindrique,1.62,2.63,4.25,Acier,Caoutchouc,Aluminium,,,60.0,90.0,93.0,0.97,3.5,1.25,9.51,35.0,7.5,0.23,,133.0,2.73,94.0,150.0,5.0,,
363,16.0,Ciare,Haut parleur a cone,CM087,4 ohm,Ferrite,Cylindrique,0.64,0.8,3.2,Acier,Polyurethane,Aluminium,,,30.0,89.0,122.0,0.33,3.5,0.5,2.5,153.0,1.2,0.27,0.14,35.0,2.86,60.0,90.0,4.0,,
364,26.0,Ciare,Haut parleur a cone,CM100,4 ohm,Ferrite,Non cylindrique,0.43,0.52,2.75,Acier,Tissu,,,,60.0,89.0,160.0,0.65,3.4,0.6,4.0,308.0,1.8,1.37,0.18,48.0,4.09,72.0,150.0,5.0,6.2,0.45
365,29.0,Ciare,Haut parleur a cone,CM132,4 ohm,Ferrite,Non cylindrique,0.43,0.55,2.11,Acier,Tissu,Aluminium,,,90.0,90.0,115.0,,3.5,0.6,4.0,209.0,3.8,1.01,0.12,82.0,4.43,86.0,180.0,6.0,7.0,1.01
366,40.0,Ciare,Haut parleur a cone,CM133,4 ohm,Ferrite,Non cylindrique,0.54,0.71,2.21,Acier,Tissu,Aluminium,,,80.0,90.0,112.0,1.6,3.41,0.5,7.6,158.0,2.5,0.48,0.08,82.0,5.05,102.0,200.0,6.0,7.0,0.48
367,56.0,Ciare,Haut parleur a cone,CM161,4 ohm,Ferrite,Cylindrique,0.32,0.34,7.26,Acier,Tissu,Kapton,,,80.0,93.0,66.0,2.4,3.55,1.25,8.5,194.0,17.7,1.44,0.11,135.0,6.58,120.0,200.0,6.0,6.0,1.46
368,62.0,Ciare,Haut parleur a cone,CM200N,4 ohm,Ferrite,Cylindrique,0.46,0.52,3.82,Acier,Tissu,Aluminium,Cuivre,,120.0,96.0,94.0,3.0,3.41,3.75,18.87,181.0,8.8,1.35,0.42,216.0,8.55,134.0,250.0,7.0,11.0,0.36
369,34.0,Ciare,Haut parleur a cone,CME200,4 ohm,Ferrite,Cylindrique,0.37,0.39,7.0,Acier,Tissu,Aluminium,Cuivre,,130.0,99.5,76.0,2.5,3.0,3.5,14.2,195.0,18.0,1.95,0.45,206.0,7.3,120.0,260.0,8.0,11.0,
370,74.0,Ciare,Haut parleur a cone,CME201,4 ohm,Ferrite,Cylindrique,0.4,0.44,4.3,Acier,Tissu,Fibre de verre,Cuivre,,220.0,95.5,60.0,2.6,3.1,4.5,22.0,136.0,21.5,1.02,0.44,210.0,7.5,120.0,450.0,8.0,12.5,0.9
371,82.0,Ciare,Haut parleur a cone,CME250,4 ohm,Ferrite,Cylindrique,0.48,0.53,5.7,Acier,Tissu,Fibre de verre,Cuivre,,220.0,97.0,48.0,2.7,3.0,4.5,35.5,91.0,74.0,1.49,0.4,380.0,7.5,120.0,450.0,8.0,12.5,1.2
372,71.0,Ciare,Haut parleur a cone,CMI160,4 ohm,Ferrite,Cylindrique,0.41,0.45,4.6,Aluminium,Tissu,Kapton,Cuivre,,220.0,94.0,70.0,2.5,2.9,4.5,18.5,156.0,7.8,0.58,0.7,137.0,7.2,120.0,450.0,8.0,12.5,0.6
373,98.0,Ciare,Haut parleur a cone,CMI160ND,4 ohm,Neodymium,Cylindrique,0.41,0.45,4.0,Aluminium,Tissu,Kapton,Cuivre,,220.0,94.0,73.0,1.3,2.9,4.5,20.0,162.0,6.0,0.5,0.33,137.0,7.8,83.0,450.0,8.0,12.5,0.6
374,113.0,Ciare,Haut parleur a cone,CMI200ND,4 ohm,Neodymium,Cylindrique,0.37,0.39,7.5,Aluminium,Tissu,Fibre de verre,Cuivre,,220.0,98.5,80.0,2.1,3.0,4.5,20.5,205.0,12.5,1.58,0.38,0.37,8.8,110.0,450.0,8.0,12.5,1.6
375,96.0,Ciare,Haut parleur a cone,CMI250,4 ohm,Ferrite,Cylindrique,0.5,0.52,12.0,Aluminium,Tissu,Fibre de verre,Cuivre,,220.0,97.0,55.0,3.5,2.9,4.5,42.0,106.0,34.0,1.05,0.34,356.0,9.0,134.0,450.0,8.0,12.5,1.2
376,123.0,Ciare,Haut parleur a cone,CMI250ND,4 ohm,Neodymium,Cylindrique,0.5,0.52,10.8,Aluminium,Tissu,Fibre de verre,Cuivre,,220.0,97.5,59.0,2.3,3.0,4.5,38.0,113.0,34.0,1.29,0.39,356.0,9.0,110.0,450.0,8.0,12.5,1.3
377,47.0,Ciare,Haut parleur a cone,CS160,4+4 ohm,Ferrite,Cylindrique,0.5,0.6,3.05,Acier,Caoutchouc,Aluminium,,,40.0,90.0,62.0,1.4,3.6,2.5,11.0,103.0,15.0,0.58,0.15,133.0,3.66,102.0,120.0,6.0,11.0,0.61
378,596.0,Ciare,Haut parleur a cone,CSW7012EVO,2+2 ohm,Ferrite,Cylindrique,0.33,0.34,9.4,Aluminium,Caoutchouc,Aluminium,Aluminium,,700.0,91.5,47.0,19.2,3.9,23.0,280.0,138.0,15.0,0.44,3.2,511.0,30.5,220.0,1400.0,15.0,52.0,0.45
379,645.0,Ciare,Haut parleur a cone,CSW7015EVO,2+2 ohm,Ferrite,Cylindrique,0.42,0.44,8.2,Aluminium,Caoutchouc,Aluminium,Aluminium,,700.0,92.6,42.0,19.6,3.9,23.0,410.0,95.0,33.0,0.54,3.32,830.0,30.5,220.0,1400.0,15.0,52.0,0.55
380,596.0,Ciare,Haut parleur a cone,CSW7112EVO,1+1 ohm,Ferrite,Cylindrique,0.36,0.37,9.2,Aluminium,Caoutchouc,Aluminium,Aluminium,,700.0,95.0,48.0,19.2,1.8,23.0,270.0,130.0,15.0,0.44,1.25,511.0,19.9,220.0,1400.0,15.0,51.0,0.45
381,645.0,Ciare,Haut parleur a cone,CSW7115EVO,1+1 ohm,Ferrite,Cylindrique,0.44,0.46,7.7,Aluminium,Caoutchouc,Aluminium,Aluminium,,700.0,96.0,42.0,19.6,1.8,23.0,399.0,91.0,36.0,0.56,1.18,830.0,20.1,220.0,1400.0,15.0,51.0,0.55
382,17.0,Ciare,Haut parleur a cone,CW100Z,4 ohm,Ferrite,Non cylindrique,0.78,1.1,2.63,Acier,Caoutchouc,Aluminium,,,40.0,87.0,107.0,0.44,3.5,1.1,4.2,97.0,1.9,0.21,,50.0,2.99,72.0,100.0,4.0,6.2,
383,18.0,Ciare,Haut parleur a cone,CW130Z,4 ohm,Ferrite,Non cylindrique,0.81,1.15,2.68,Acier,Caoutchouc,Aluminium,,,50.0,88.0,75.0,0.49,3.5,1.1,6.42,65.0,6.5,0.23,,82.0,3.03,72.0,100.0,4.0,6.2,
384,39.0,Ciare,Haut parleur a cone,CW131,4 ohm,Ferrite,Non cylindrique,0.39,0.45,2.7,Acier,Caoutchouc,Aluminium,,,70.0,89.0,65.0,1.4,3.65,2.5,9.7,144.0,5.3,0.32,0.43,79.0,5.68,102.0,180.0,6.0,11.0,0.32
385,46.0,Ciare,Haut parleur a cone,CW161N,4 ohm,Ferrite,Cylindrique,0.35,0.42,2.24,Acier,Caoutchouc,Aluminium,,,80.0,90.0,52.0,1.4,3.6,4.0,13.05,124.0,17.4,0.56,0.44,133.0,6.07,102.0,180.0,6.0,11.0,0.58
386,58.0,Ciare,Haut parleur a cone,CW162,4 ohm,Ferrite,Cylindrique,0.21,0.23,2.22,Acier,Caoutchouc,Aluminium,,,90.0,91.0,40.0,2.4,3.0,4.5,18.0,174.0,26.0,0.7,0.57,133.0,7.37,120.0,200.0,6.0,17.0,0.54
387,59.0,Ciare,Haut parleur a cone,CW169,4 ohm,Ferrite,Cylindrique,0.32,0.39,1.81,Acier,Caoutchouc,Aluminium,,,90.0,90.0,46.0,,3.33,3.5,14.19,118.0,21.2,0.51,0.32,133.0,5.94,102.0,180.0,6.0,13.0,0.52
388,40.0,Ciare,Haut parleur a cone,CW170,4 ohm,Ferrite,Cylindrique,0.47,0.56,3.0,Acier,Caoutchouc,Aluminium,,,60.0,90.0,55.0,1.0,3.3,3.0,10.3,98.0,18.0,0.52,0.27,129.0,4.62,86.0,150.0,5.0,11.0,0.55
389,23.0,Ciare,Haut parleur a cone,CW170Z,4 ohm,Ferrite,Cylindrique,1.23,1.93,3.39,Acier,Caoutchouc,Aluminium,,,50.0,89.0,74.0,0.72,3.5,1.75,8.64,38.0,13.1,0.27,,133.0,2.71,80.0,120.0,4.0,7.5,
390,37.0,Ciare,Haut parleur a cone,CW200Z,4 ohm,Ferrite,Cylindrique,0.53,0.71,2.17,Acier,Caoutchouc,Aluminium,,,80.0,93.0,49.0,1.1,3.5,2.5,17.43,69.0,38.3,0.61,,214.0,5.17,90.0,160.0,6.0,11.0,
391,67.0,Ciare,Haut parleur a cone,CW202,4 ohm,Ferrite,Cylindrique,0.41,0.48,2.96,Acier,Caoutchouc,Aluminium,,,120.0,90.0,40.0,2.4,3.9,4.35,23.0,83.0,48.0,0.62,0.52,222.0,6.53,120.0,240.0,6.0,16.0,0.5
392,115.0,Ciare,Haut parleur a cone,CW260SPL,4 ohm,Ferrite,Cylindrique,0.19,0.19,14.24,Aluminium,Tissu,Fibre de verre,Cuivre,,300.0,96.5,40.0,5.4,2.54,6.0,42.56,211.0,66.3,2.15,0.48,356.0,11.97,156.0,600.0,8.0,16.0,2.16
393,242.0,Ciare,Haut parleur a cone,CW387,4 ohm,Ferrite,Cylindrique,0.31,0.32,10.35,Aluminium,Tissu,Kapton,Aluminium,,500.0,99.0,37.0,12.1,3.39,3.75,103.0,116.0,183.0,2.79,0.6,855.0,15.87,220.0,1000.0,10.0,17.5,2.81
394,37.0,Ciare,Haut-parleur coaxial a une entree,CX102,4 ohm,Ferrite,Non cylindrique,0.43,0.51,3.02,Acier,Caoutchouc,Aluminium,,,40.0,89.0,125.0,0.73,3.13,0.6,3.8,245.0,1.5,0.56,,50.0,4.29,72.0,100.0,5.0,6.2,0.55
395,40.0,Ciare,Haut-parleur coaxial a une entree,CX131,4 ohm,Ferrite,Non cylindrique,0.43,0.49,3.45,Acier,Caoutchouc,Aluminium,,,60.0,89.0,83.0,0.98,3.4,2.0,5.9,169.0,6.8,0.77,,88.0,4.59,86.0,150.0,4.0,9.0,0.76
396,41.0,Ciare,Haut-parleur coaxial a une entree,CX171,4 ohm,Ferrite,Cylindrique,0.55,0.65,3.41,Acier,Caoutchouc,Aluminium,,,60.0,90.0,67.0,1.1,3.2,3.0,10.0,103.0,13.6,0.61,,90.0,4.6,86.0,150.0,5.0,11.0,0.62
397,28.0,Ciare,Haut-parleur coaxial a une entree,CXE104,4 ohm,Ferrite,,0.93,1.21,4.01,Acier,Caoutchouc,Aluminium,,,40.0,91.0,119.0,0.46,3.4,2.1,4.21,98.0,2.38,0.32,,50.0,2.96,,80.0,4.0,6.2,
398,113.0,Ciare,Haut-parleur coaxial a deux entrees,CXPA-4,8+4 ohm,Neodymium,Non cylindrique,0.73,0.86,4.9,Acier,Caoutchouc,Fibre de verre,Cuivre,,100.0,,198.0,0.81,5.3,2.75,6.15,230.0,0.39,0.34,0.38,51.53,6.85,,200.0,,,0.34
399,120.0,Ciare,Haut-parleur coaxial a deux entrees,CXPA-5,8+4 ohm,Neodymium,Non cylindrique,0.32,0.33,7.2,Acier,Caoutchouc,Kapton,Cuivre,,100.0,,129.0,0.95,5.27,3.5,7.3,391.0,1.95,1.22,0.36,81.7,9.7,,200.0,,,1.22
400,162.0,Ciare,Haut-parleur coaxial a deux entrees,CXPA-6,8+4 ohm,Neodymium,Cylindrique,0.39,0.41,6.17,Acier,Caoutchouc,Kapton,Cuivre,,150.0,,100.0,1.8,5.76,5.5,11.3,244.0,5.71,1.34,0.54,134.8,9.96,,300.0,,,1.34
401,21.0,Ciare,Haut-parleur coaxial a une entree,CZ087,4 ohm,Ferrite,Non cylindrique,1.76,2.57,5.56,Acier,Caoutchouc,Aluminium,,,30.0,,177.0,0.35,3.5,1.6,2.0,69.0,0.6,0.13,,33.0,1.74,60.0,80.0,3.0,,
402,23.0,Ciare,Haut-parleur coaxial a une entree,CZ140,4 ohm,Ferrite,Elliptique,1.38,1.73,6.8,Acier,Caoutchouc,Aluminium,,,40.0,,159.0,0.48,3.5,1.1,3.63,92.0,2.3,0.52,,77.0,2.71,72.0,90.0,4.0,,
403,24.0,Ciare,Haut-parleur coaxial a une entree,CZ170,4 ohm,Ferrite,Cylindrique,1.47,2.16,4.59,Acier,Caoutchouc,Aluminium,,,50.0,,104.0,0.71,3.5,1.1,7.05,48.0,8.2,0.41,,133.0,2.73,80.0,100.0,4.0,6.2,
404,145.0,Ciare,Haut parleur a cone,FXH15.75W,8 ohm,Ferrite,Cylindrique,0.4,0.42,11.1,Aluminium,Tissu,,Aluminium,,350.0,97.5,41.0,7.8,5.9,5.5,96.0,98.0,156.0,2.46,1.6,855.0,0.4,180.0,800.0,,17.0,2.5
405,98.0,Ciare,Haut parleur a cone,FXI10.50W,8 ohm,Ferrite,Cylindrique,0.38,0.41,4.3,Aluminium,Tissu,,Aluminium,,220.0,96.0,58.0,3.4,5.8,4.5,34.5,141.0,38.5,1.76,0.85,356.0,13.3,134.0,450.0,8.0,12.7,1.8
406,103.0,Ciare,Haut parleur a cone,FXI12.50W,8 ohm,Ferrite,Cylindrique,0.44,0.49,3.87,Aluminium,Tissu,,Aluminium,,220.0,97.5,55.0,3.8,5.5,5.0,50.0,112.0,70.0,2.29,0.95,547.0,13.9,134.0,450.0,8.0,13.5,2.7
